# id, p_deg, t_deg, camPosX, camPosY, camPosZ, camEulerX_deg, camEulerY_deg, camEulerZ_deg
86, -17.699780, 13.199420, 0.022746, 1.099242, -0.299024, 353.904400, 5.176571, -0.004895
87, 26.932970, -4.780774, 0.013257, 1.076955, -0.314085, 359.024400, 3.214522, 0.009761
88, -27.996850, 7.665808, 0.021851, 1.091794, -0.302711, 355.647400, 5.047734, 359.994300
89, -27.229780, 2.800139, 0.030329, 1.089972, -0.310492, 356.121500, 7.214108, 359.982100
90, 26.993670, 12.740100, 0.021948, 1.114766, -0.308549, 350.208600, 5.191309, 0.017416
91, 26.247980, -4.666444, 0.014415, 1.081704, -0.316113, 358.022300, 3.525068, 0.007897
92, 27.574870, -2.381087, 0.007794, 1.061875, -0.303234, 2.709528, 1.808356, 359.992700
93, -27.880460, -4.402071, 0.018294, 1.055353, -0.304128, 4.228331, 4.252985, 0.015094
94, -9.955894, -4.674166, 0.021626, 1.053096, -0.304051, 4.753172, 5.022583, 0.012311
95, -28.000000, -4.799779, 0.034132, 1.052130, -0.305397, 4.977983, 7.939711, 0.031732
96, 27.969090, 11.686470, 0.025481, 1.091796, -0.297299, 355.807800, 5.755472, 0.002231
97, 23.221520, 13.199970, 0.017492, 1.124438, -0.314190, 347.932100, 4.239805, 0.024812
98, 27.982720, -1.917173, 0.010390, 1.089498, -0.316155, 356.194000, 2.542529, 0.010518
99, -27.991690, -3.069741, 0.016596, 1.062325, -0.304883, 2.603384, 3.871662, 0.002028
100, 27.981060, 0.878114, 0.006147, 1.070679, -0.301674, 0.652884, 1.417619, -0.005632
101, -13.030080, -4.799990, 0.011387, 1.058805, -0.305952, 3.423344, 2.670168, 0.004096
102, 27.993440, 13.199700, 0.004116, 1.095915, -0.296804, 354.668700, 0.930764, 0.003284
103, 27.384080, 10.362000, -0.006308, 1.117996, -0.313920, 349.449100, 358.469100, 0.046273
104, -12.754720, 13.199720, 0.001577, 1.125669, -0.314582, 347.578600, 0.384608, 359.959900
105, 19.042650, -3.555044, -0.004663, 1.086868, -0.316721, 356.667500, 358.855200, 0.010108
106, -26.785300, 6.889899, 0.003460, 1.091478, -0.302818, 355.723900, 0.801846, 359.989600
107, -24.219350, -4.760336, 0.009544, 1.066692, -0.309334, 1.561999, 2.269919, -0.001681
108, -27.432420, 6.359321, 0.017151, 1.086186, -0.301225, 357.003000, 3.942097, -0.002244
